,number,work,volume,page,panel,metaphor,type1,type2,type3,,,,,
Sample_123,1312,March comes in Like a Lion (Sangatsu no Lion),15,134,"1,2",included,d,,,,,,,
Sample_124,1313,March comes in Like a Lion (Sangatsu no Lion),15,148,1,included,d,,,,,,,
Sample_125,1317,March comes in Like a Lion (Sangatsu no Lion),16,23,1.2.3,included,unclear,,,,,,,
Sample_126,1318,March comes in Like a Lion (Sangatsu no Lion),16,58,4,included,d,,,,,,,
Sample_127,1319,March comes in Like a Lion (Sangatsu no Lion),16,60,,not included,,,,,,,,
Sample_128,1320,March comes in Like a Lion (Sangatsu no Lion),16,80,"1,3",included,d,,,,,,,
Sample_129,1321,March comes in Like a Lion (Sangatsu no Lion),16,85,"1,2",included,d,,,,,,,
Sample_130,1322,March comes in Like a Lion (Sangatsu no Lion),16,89,1,included,b,,,,,,,
Sample_131,1323,March comes in Like a Lion (Sangatsu no Lion),16,106,1,included,d,,,,,,,
Sample_132,1324,March comes in Like a Lion (Sangatsu no Lion),16,107,"1,2",included,d,,,,,,,
Sample_133,1325,March comes in Like a Lion (Sangatsu no Lion),16,109,1,included,d,,,,,,,
Sample_134,1326,March comes in Like a Lion (Sangatsu no Lion),16,113,2,included,d,,,,,,,
Sample_135,1327,March comes in Like a Lion (Sangatsu no Lion),16,114,2,included,d,,,,,,,
Sample_136,1328,March comes in Like a Lion (Sangatsu no Lion),16,131,2,included,d,,,,,,,
Sample_137,1329,March comes in Like a Lion (Sangatsu no Lion),16,133,3,included,b,,,,,,,
Sample_138,1330,March comes in Like a Lion (Sangatsu no Lion),16,138,4,included,d,,,,,,,
Sample_139,1331,March comes in Like a Lion (Sangatsu no Lion),16,139,"1,3",included,d,,,,,,,
Sample_140,1332,March comes in Like a Lion (Sangatsu no Lion),16,148,2,included,d,,,,,,,
Sample_141,1333,March comes in Like a Lion (Sangatsu no Lion),16,163,3,included,b,d,,,,,,
Sample_142,1334,March comes in Like a Lion (Sangatsu no Lion),16,164,4,included,b,,,,,,,
Sample_143,1335,March comes in Like a Lion (Sangatsu no Lion),16,165,"1,2,3",included,b,d,,,,,,
Sample_144,1337,March comes in Like a Lion (Sangatsu no Lion),16,170,2,included,unclear,,,,,,,
Sample_145,1338,March comes in Like a Lion (Sangatsu no Lion),16,175,3,included,b,,,,,,,
Sample_146,1339,March comes in Like a Lion (Sangatsu no Lion),16,177,1,included,c,,,,,,,
Sample_147,1340,March comes in Like a Lion (Sangatsu no Lion),16,178,2,included,b,,,,,,,
Sample_148,1341,March comes in Like a Lion (Sangatsu no Lion),16,184,"1,2",included,d,,,,,,,
Sample_149,1342,March comes in Like a Lion (Sangatsu no Lion),16,185,"1,2",included,d,,,,,,,
Sample_150,1343,March comes in Like a Lion (Sangatsu no Lion),16,188,"1,2",included,d,,,,,,,
Sample_151,1344,March comes in Like a Lion (Sangatsu no Lion),17,12,"1,2,3",included,b,,,,,,,
Sample_152,1345,March comes in Like a Lion (Sangatsu no Lion),17,18,"1,2,3,4",included,d,,,,,,,
Sample_153,1346,March comes in Like a Lion (Sangatsu no Lion),17,19,2,included,a,,,,,,,
Sample_154,1347,March comes in Like a Lion (Sangatsu no Lion),17,20,5,included,d,,,,,,,
Sample_155,1348,March comes in Like a Lion (Sangatsu no Lion),17,21,4,included,c,d,,,,,,
Sample_156,1349,March comes in Like a Lion (Sangatsu no Lion),17,24,2,included,d,,,,,,,
Sample_157,1350,March comes in Like a Lion (Sangatsu no Lion),17,25,3,included,d,,,,,,,
Sample_158,1351,March comes in Like a Lion (Sangatsu no Lion),17,26,4,included,c,,,,,,,
Sample_159,1352,March comes in Like a Lion (Sangatsu no Lion),17,28,2,included,a,,,,,,,
